Tri;Legal perimeter;Perimètre spatial;Spatial perimeter;Filière;Sector;Power plant;Unit;Combustible;Fuel;Sous-filière;Sub-sector;Program contract;Date of industrial commissioning;Installed capacity ;Minimum design power;Maximum secondary reserve ;Unit;GPS position (wsg84);Region;INSEE region code;Department;INSEE department code;EPCI;INSEE EPCI code;Town;INSEE town code
5;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Nucléaire;Nuclear;BELLEVILLE;BELLEVILLE 1;Uranium Enrichi;Enriched Uranium;Réacteur à eau pressurisée (REP) 1300;Pressurised water reactor 1300;P'4;1988-06-01;1310;260;60;MW;47.508946, 2.875676;CENTRE-VAL DE LOIRE;24;CHER;18;CC Pays Fort Sancerrois Val de Loire;200069227;Belleville-sur-Loire;18026
6;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Nucléaire;Nuclear;BELLEVILLE;BELLEVILLE 2;Uranium Enrichi;Enriched Uranium;Réacteur à eau pressurisée (REP) 1300;Pressurised water reactor 1300;P'4;1989-01-01;1310;260;60;MW;47.508946, 2.875676;CENTRE-VAL DE LOIRE;24;CHER;18;CC Pays Fort Sancerrois Val de Loire;200069227;Belleville-sur-Loire;18026
7;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Nucléaire;Nuclear;BLAYAIS (LE);BLAYAIS 1;Multi-oxyde d’uranium et de plutonium;Multi-oxide of uranium and plutonium;Réacteur à eau pressurisée (REP) 900;Pressurised water reactor 900;CP1;1981-12-01;910;180;40;MW;45.257605, -0.690606;NOUVELLE-AQUITAINE;75;GIRONDE;33;CC de l'Estuaire;243300811;Braud-et-Saint-Louis;33073
8;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Nucléaire;Nuclear;BLAYAIS (LE);BLAYAIS 2;Multi-oxyde d’uranium et de plutonium;Multi-oxide of uranium and plutonium;Réacteur à eau pressurisée (REP) 900;Pressurised water reactor 900;CP1;1983-02-01;910;180;40;MW;45.257605, -0.690606;NOUVELLE-AQUITAINE;75;GIRONDE;33;CC de l'Estuaire;243300811;Braud-et-Saint-Louis;33073
9;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Nucléaire;Nuclear;BLAYAIS (LE);BLAYAIS 3;Uranium Enrichi;Enriched Uranium;Réacteur à eau pressurisée (REP) 900;Pressurised water reactor 900;CP1;1983-11-14;910;180;40;MW;45.257605, -0.690606;NOUVELLE-AQUITAINE;75;GIRONDE;33;CC de l'Estuaire;243300811;Braud-et-Saint-Louis;33073
10;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Nucléaire;Nuclear;BLAYAIS (LE);BLAYAIS 4;Uranium Enrichi;Enriched Uranium;Réacteur à eau pressurisée (REP) 900;Pressurised water reactor 900;CP1;1983-10-01;910;180;40;MW;45.257605, -0.690606;NOUVELLE-AQUITAINE;75;GIRONDE;33;CC de l'Estuaire;243300811;Braud-et-Saint-Louis;33073
18;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Nucléaire;Nuclear;BUGEY (LE);BUGEY 2;Uranium Enrichi;Enriched Uranium;Réacteur à eau pressurisée (REP) 900;Pressurised water reactor 900;CP0;1979-03-01;910;180;25;MW;45.801148, 5.266072;AUVERGNE-RHONE-ALPES;84;AIN;1;CC de la Plaine de l'Ain;240100883;Saint-Vulbas;1390
19;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Nucléaire;Nuclear;BUGEY (LE);BUGEY 3;Uranium Enrichi;Enriched Uranium;Réacteur à eau pressurisée (REP) 900;Pressurised water reactor 900;CP0;1979-03-01;910;180;25;MW;45.801148, 5.266072;AUVERGNE-RHONE-ALPES;84;AIN;1;CC de la Plaine de l'Ain;240100883;Saint-Vulbas;1390
20;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Nucléaire;Nuclear;BUGEY (LE);BUGEY 4;Uranium Enrichi;Enriched Uranium;Réacteur à eau pressurisée (REP) 900;Pressurised water reactor 900;CP0;1979-07-01;880;180;25;MW;45.801148, 5.266072;AUVERGNE-RHONE-ALPES;84;AIN;1;CC de la Plaine de l'Ain;240100883;Saint-Vulbas;1390
21;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Nucléaire;Nuclear;BUGEY (LE);BUGEY 5;Uranium Enrichi;Enriched Uranium;Réacteur à eau pressurisée (REP) 900;Pressurised water reactor 900;CP0;1980-01-03;880;180;25;MW;45.801148, 5.266072;AUVERGNE-RHONE-ALPES;84;AIN;1;CC de la Plaine de l'Ain;240100883;Saint-Vulbas;1390
